,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction
15,6557X161,7,OUT,6,0.2,20,50,0.7,0.601,0.541,0.836,0.775,0.736,4.19,244.0,0.75,NG
16,6557X161,8,OUT,1,0.4,20,70,0.721,0.301,0.694,0.849,0.549,0.833,3.95,180.0,1.2,NG
17,6557X161,8,OUT,2,0.2,36,50,0.644,0.684,0.324,0.802,0.827,0.57,3.85,193.0,1.0,NG
12,6557X161,7,OUT,3,0.2,20,50,0.684,0.353,0.41,0.827,0.594,0.641,3.51,206.0,0.75,NG
11,6557X161,7,OUT,1,0.2,20,70,0.459,0.424,0.529,0.678,-0.651,0.728,3.47,180.0,1.05,NG
20,6557X161,8,OUT,6,0.2,20,50,0.517,0.532,0.353,0.719,0.729,0.596,3.45,244.0,1.0,NG
4,6557X161,2,OUT,4,0.2,20,65,0.645,0.363,0.391,0.803,-0.602,0.625,3.43,39.0,1.15,NG
7,6557X161,2,OUT,7,0.2,20,65,0.62,0.341,0.423,0.787,-0.584,0.651,3.41,77.0,1.15,NG
0,6557X161,1,OUT,4,0.2,22,65,0.62,0.301,0.363,0.787,-0.549,0.603,3.22,39.0,1.15,NG
14,6557X161,7,OUT,5,0.2,20,50,0.474,0.342,0.445,0.689,0.585,0.667,3.2,231.0,0.75,NG
18,6557X161,8,OUT,3,0.2,20,50,0.568,0.347,0.333,0.754,0.589,0.578,3.17,206.0,1.0,NG
19,6557X161,8,OUT,5,0.2,20,50,0.465,0.356,0.422,0.682,0.597,0.651,3.17,231.0,1.0,NG
3,6557X161,1,OUT,7,0.2,24,65,0.57,0.303,0.374,-0.755,-0.55,0.612,3.16,77.0,1.15,NG
13,6557X161,7,OUT,4,0.2,20,50,0.458,0.325,0.434,0.677,0.57,0.659,3.12,219.0,0.75,NG
6,6557X161,2,OUT,6,0.25,24,65,0.432,0.31,0.425,0.657,0.557,0.652,3.03,64.0,1.15,NG
8,6557X161,6,OUT,1,0.2,22,70,0.314,0.432,0.395,0.56,-0.657,0.627,2.99,180.0,1.05,NG
1,6557X161,1,OUT,5,0.2,30,65,0.401,0.33,0.392,0.633,0.574,0.627,2.96,51.0,1.15,NG
5,6557X161,2,OUT,5,0.2,24,65,0.457,0.316,0.356,0.676,-0.562,0.597,2.96,51.0,1.15,NG
2,6557X161,1,OUT,6,0.25,24,65,0.37,0.31,0.343,0.608,0.556,0.586,2.77,64.0,1.15,NG
10,6557X161,6,OUT,6,0.2,20,50,0.349,0.352,0.308,0.591,0.594,0.556,2.75,244.0,0.75,NG
9,6557X161,6,OUT,5,0.2,22,50,0.376,0.301,0.329,0.613,0.549,0.574,2.74,231.0,0.75,NG
